University,Canton,Latitude,Longitude
AO Research Institute - AORI,GR,,
Allergie- und Asthmaforschung - SIAF,GR,,
Berner Fachhochschule - BFH,BE,46.9556096,7.45979592729944
Biotechnologie Institut Thurgau - BITG,TG,,
Centre de rech. sur l'environnement alpin - CREALP,VS,,
EPF Lausanne - EPFL,VD,46.5189865,6.5676007
ETH Zürich - ETHZ,ZH,47.3764534,8.54770931489751
Eidg. Anstalt für Wasserversorgung - EAWAG,ZH,,
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",ZH,,
Eidg. Hochschulinstitut für Berufsbildung - EHB,VD,,
Eidg. Material und Prüfungsanstalt - EMPA,ZH,,
Ente Ospedaliero Cantonale - EOC,TI,,
Fachhochschule Kalaidos - FHKD,ZH,,
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,AG,,
Fachhochschule Ostschweiz - FHO,SG,,
Facoltà di Teologia di Lugano - FTL,TI,,
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,VS,,
Forschungsanstalten Agroscope - AGS,ZH,,
Forschungsinstitut für Opthalmologie - IRO,VS,,
Forschungsinstitut für biologischen Landbau - FIBL,AG,47.5169962,8.0254878
Forschungskommission SAGW,BE,,
Franklin University Switzerland - FUS,TI,,
Friedrich Miescher Institute - FMI,BS,,
HES de Suisse occidentale - HES-SO,JU,47.3320717,7.638838499999999
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",JU,,
Haute école pédagogique du canton de Vaud - HEPL,VD,,
Haute école pédagogique fribourgeoise - HEPFR,FR,,
Hochschule Luzern - HSLU,LU,47.0537515,8.2956392
Idiap Research Institute - IDIAP,VS,46.109237,7.08453548522408
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NE,,
Inst. de Hautes Etudes Internat. et du Dév - IHEID,GE,,
Inst. universit. romand de Santé au Travail - IST,VD,,
Institut Universitaire Kurt Bösch - IUKB,VS,,
Institut für Kulturforschung Graubünden - IKG,GR,,
Instituto Ricerche Solari Locarno - IRSOL,TI,,
Interkant. Hochschule für Heilpädagogik ZH - HfH,ZH,,
Istituto Svizzero di Roma - ISR,TI,,
Kantonsspital St. Gallen - KSPSG,SG,47.4244818,9.3767173
Paul Scherrer Institut - PSI,AG,,
Physikal.-Meteorolog. Observatorium Davos - PMOD,GR,,
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,GR,46.331734,8.800452900000002
Pädagogische Hochschule Bern - PHBern,BE,46.9442149,7.44863248319286
Pädagogische Hochschule Graubünden - PHGR,GR,,
Pädagogische Hochschule Luzern - PHLU,LU,47.05016819999999,8.3093072
Pädagogische Hochschule Schaffhausen - PHSH,SH,47.6958897,8.6380488
Pädagogische Hochschule Schwyz - PHSZ,SZ,47.0207138,8.652988400000002
Pädagogische Hochschule St. Gallen - PHSG,SG,47.4244818,9.3767173
Pädagogische Hochschule Thurgau - PHTG,TG,47.64758585,9.18072370425751
Pädagogische Hochschule Wallis - PHVS,VS,,
Pädagogische Hochschule Zug - PHZG,ZG,,
Pädagogische Hochschule Zürich - PHZFH,ZH,47.3768866,8.541694
Robert Walser-Stiftung Bern - RWS,BE,,
SUP della Svizzera italiana - SUPSI,TI,,
Schweiz. Hochschule für Logopädie Rorschach - SHLR,SG,46.818188,8.227511999999999
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,ZH,,
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,VD,,
Schweizer Paraplegiker Forschung - SPF,LU,,
Staatsunabh. Theologische Hochschule Basel - STHB,BS,47.5595986,7.5885761
Swiss Center for Electronics and Microtech. - CSEM,NE,,
Swiss Institute of Bioinformatics - SIB,VD,,
Università della Svizzera italiana - USI,TI,46.0109126,8.95812047182561
Universität Basel - BS,BS,47.55832,7.58403
Universität Bern - BE,BE,46.95096,7.43548
Universität Luzern - LU,LU,47.04929385,8.31234069398296
Universität St. Gallen - SG,SG,47.4328168,9.3781632
Universität Zürich - ZH,ZH,47.37092,8.53434
Université de Fribourg - FR,FR,46.80683,7.15317
Université de Genève - GE,GE,46.1990632,6.13642091238004
Université de Lausanne - LA,VD,46.52255555,6.58093239421071
Université de Neuchâtel - NE,NE,46.99385,6.93789
Zürcher Fachhochschule (ohne PH) - ZFH,ZH,,
